Trivia,Answer
The southernmost part of the US is located in which state?,Hawaii
"Militia Company of District II under the Command of Captain Frans Banninck Cocq, a painting by Rembrandt, is better known by what name?",The Night Watch
Who played the title character in the teen sitcom musical comedy “Hannah Montana”?,Miley Cyrus
Barack Obama was first elected president of the United States in what year?,2008
Menlo Park New Jersey was home to which inventors research laboratory?,Thomas Edison
The southernmost part of the US is located in which state?,Hawaii
Which famous singer appeared in the movie Mad Max: Beyond Thunderdome?,Tina Turner
"Released in 1989, “Bleach” was the debut studio album by what rock band?",Nirvana
What was the name of the ship on which Charles Darwin served as a naturalist during a voyage to South America and around the world?,HMS Beagle
Oliver Twist was the second novel published by which English author?,Charles Dickens
"In 1862, the city of Bucharest became the capital of which country?",Romania
"In 2003, which U.S. state was officially declared the birthplace of aviation?","Ohio (Dayton, Ohio was the home of Wilbur and Orville Wright)"
Which elements symbol is the letter K on the periodic table?,Potassium
Who was the first person selected as Time Magazine’s Man of the Year?,Charles Lindbergh in 1927.
"Existing as recently as 100,000 years ago, Gigantopithecus blacki is an extinct species what animal?",Ape
What is the seventh and final novel of the Harry Potter series?,Harry Potter and the Deathly Hallows
The Principality of Monaco is a sovereign city-state bordered on three sides by which country?,France
Jason Voorhees is the main antagonist in what movie franchise?,Friday the 13th
Marie Antoinette was born an Archduchess of what country?,Austria
A poke bowl is a diced raw fish dish that originated in which U.S. state?,Hawaii
Which planet in our solar system has an axis that is tilted by 98 degrees?,Uranus
"On June 16, 1963, which Soviet cosmonaut became the first woman in space?",Valentina Tereshkova
What do you call a group of unicorns?,A blessing.
What is the capital of the Republic of Ireland?,Dublin
What NBA player was known as “The Pearl”?,Earl Monroe
What US state has the longest official name?,State of Rhode Island and Providence Plantations
How many elevators does the Empire State Building have?,73
Which bone is the longest bone in the human body?,Femur
"What 1968 American action thriller film, starring Steve McQueen, featured a car chase scene through the streets of San Francisco?",Bullitt
In what two-act ballet does a toymaker’s goddaughter travel to the Land of Sweets on Christmas Eve?,The Nutcracker
"Of the original six space shuttles, which one never flew a mission in space?",Enterprise
What is professional wrestler John Cena’s famous catchphrase?,You can’t see me!
The United States Supreme Court consists of how many judges?,Nine
"In 1957, who became the first African American to win Wimbledon?",Althea Gibson 
"The meat of a game animal, such as deer, is called what?",Venison
"What film did Carol Burnett parody as the character “Starlet” in a costume made from tassels, drapery, and a curtain rod?",Gone with the Wind
What is the name for the unit of measurement of power that is roughly equal to 746 watts?,Horsepower
Tiger Woods became a professional golfer in what year?,1996
What capital city lies on the Potomac River?,Washington D.C.
What is the name of the character played by Johnny Depp in the Pirates of the Caribbean film series?,Captain Jack Sparrow
"Founded in 1921, this company was credited with being the first “fast food” chain?",White Castle
"Ganymede, the largest moon in our solar system, belongs to which planet?",Jupiter
"Finish this phrase: You drive for show, but putt for “_____”?",Dough
"A fictional Princeton Plainsboro Teaching Hospital in New Jersey, was the set of what popular American television medical drama starring Hugh Laurie?","House, M.D"
Which American author wrote the non-fiction novel “In Cold Blood”?,Truman Capote
Who was the first man to appear on the cover of Playboy Magazine?,"Peter Sellers, April 1964 issue"
The scientific unit named after Sir Isaac Newton measures what?,Force
Which athlete has won the most Olympic medals?,Michael Phelps
What US city was the first to host the Olympic Games?,"St. Louis, Missouri in 1904."
In 1952 the United States Air Force created Project Blue Book to study what?,Unidentified Flying Objects (UFOs)
Who was the first woman pilot to fly solo across the Atlantic?,Amelia Earhart
“Call me Ishmael” is the opening line from what novel?,Moby Dick
What is the most abundant chemical element in the Universe?,Hydrogen
What was the name of the Eminem single that set the world’s record in 2013 for the most words used in a song?,Rap God
A young women in the 1920s that behaved and dressed boldly was referred to as what?,A Flapper
"Dijon mustard originated in the city of Dijon, located in what country?",France
"“Game, set, match” is an expression used to indicate a competitor has won the game in which sport?",Tennis
Who was the first person selected as Time Magazine’s Man of the Year?,Charles Lindbergh in 1927.
What Harvard dropout co-founded Microsoft?,Bill Gates
Kinnikinnick is a Native American herbal mixture used as a substitute for what?,Tobacco
"What private research university was founded in New Haven, Connecticut in 1701?",Yale University
Abraham Lincoln was assassinated in what year?,1865
What is a traditional fermented Korean side dish made seasoned vegetables and salt?,Kimchi
Keiko is the name of a whale that appeared in what 1993 American family drama film?,Free Willy
In movie ratings what do the letters PG stand for?,Parental Guidance
"Yerevan, one of the world’s oldest continuously inhabited cities, is the capital of what country?",Armenia
What element did Joseph Priestley discover in 1774?,Oxygen
“I was working part time at a five and dime. My boss was Mr. McGee” are lyrics from which song by Prince?,Raspberry Beret
Which two South American countries do not touch the sea?,Paraguay and Bolivia
Who wrote the fairy tale “The Ugly Duckling”?,Hans Christian Andersen
What island does the Statue of Liberty stand on?,Liberty Island
A league is equivalent to how many nautical miles at sea?,Three
Who was the star of the popular 80s crime drama Magnum P.I.?,Tom Selleck
Which branch of physics is devoted to the study of heat and related phenomena?,Thermodynamics
"In 1862, the city of Bucharest became the capital of which country?",Romania
Who is the author of the book “A Brief History of Time”?,Stephen Hawking
"Carved stone human figures with large heads, known as Moai, can be found on what Polynesian island?",Easter Island (Rapa Nui)
What late American singer was the mayor of Palm Springs California from 1988 to 1992?,Sonny Bono
What was the original flavor of the filling in Twinkies?,Banana cream
What is the only territory of the mainland Americas that is still part of a European country?,French Guiana
What does HTTP stand for in a website address?,HyperText Transfer Protocol
What Canadian province separates Alaska from the continental United States?,British Columbia
What does the muppet Oscar the Grouch live in?,A trash can
What is the chemical symbol for table salt?,NaCl
Mario Kart is a video game series publish by which company?,Nintendo
Alexander the great was taught by which Greek philosopher?,Aristotle
In what year did World War II end?,1945
Tiger Woods became a professional golfer in what year?,1996
What do you call the small image icons used to express emotions or ideas in digital communication?,Emoji
What was the first toy advertised on television?,Mr. Potato Head
Foie gras is a french delicacy made from the liver of what animal?,Duck or Goose
"“Believe in something, even if it means sacrificing everything” is a Nike advertisement associated with what former NFL player?",Colin Kaepernick
Approximately 2% of all people have what eye color?,Green
The process of making cow’s milk safe for human consumption is called what?,Pasteurization
Who was the first Latin American born player to play in Major League Baseball?,Luis Manuel Castro
The penny-farthing was a popular type of what?,Bicycle
Madagascar is an island located of the southeast coast of what continent?,Africa
"The 2006 British-American family adventure drama film Flicka, featured what type of animal?",Horses
What animal is the symbol of the United States democratic party?,Donkey
The Barbie doll was launched in 1959 by which American toy company?,"Mattel, Inc."
America’s Next Top Model is an American reality television show created by which former model?,Tyra Banks
Which country is home to the world’s oldest operating amusement park?,"Denmark, Dyrehavsbakken amusement park opened in 1583."
"The Roman Catholic church La Sagrada Familia, located in Barcelona Spain, was designed by which Catalan architect?",Antoni Gaudí
"In the 1988 American live-action/animated comedy film Who Framed Roger Rabbit, who framed Roger Rabbit?",Judge Doom
"Wrangell-St. Elias, the largest national park in the U.S., is located in which state?",Alaska
What type of number has no factors other than 1 and itself?,Prime Number
Which team did the Chicago Cubs play in the 1945 World Series?,Detroit Tigers
"The companies HP, Microsoft and Apple were all started in a what?",Garage
What is the name of the character played by Johnny Depp in the Pirates of the Caribbean film series?,Captain Jack Sparrow
"Originating in Germany, the Danube River empties into what body of water?",Black Sea
"According to the bible, who was the longest lived person on Earth?",Methuselah: 969 years
What country is named for its location on the equator?,Ecuador
In which country did cheddar cheese originate?,England
What female singer had an embarrassing wardrobe malfunction during the Super Bowl XXXVIII halftime show?,Janet Jackson
A standard 7-inch vinyl single is usually played at what rpm?,45 rpm
Which country has the longest land border?,"China with a land border of 13,743 miles (22,117 km)."
"Stratus, Cirrus & Cumulus are names for different types of what?",Clouds
Which musician is often called the fifth Beatle?,Pete Best
"Who was the author of the children’s fantasy novel The Lion, the Witch and the Wardrobe?",C.S. Lewis
A league is equivalent to how many nautical miles at sea?,Three
"In the 2016 American fantasy adventure film, “The Jungle Book”, what is the name of the orphaned human boy?",Mowgli
"Who produced and directed the American epic aviation war film “Hell’s Angels”, released in 1930?",Howard Hughes
Who was the first man to appear on the cover of Playboy Magazine?,"Peter Sellers, April 1964 issue"
Mario Kart is a video game series publish by which company?,Nintendo
"Nicholas II, the last Tsar of Russia was said to have been close friends with a mystical faith healer known by what name?",Grigori Rasputin
“Mare Tranquillitatis” is the Latin name for what feature found on Earth’s moon?,Sea of Tranquility
Which New York City nightclub was originally built in 1927 as the Gallo Opera House?,Studio 54
"According to the Star Trek science fiction franchise, Earth is what class of planet?",M Class
"Published in 1906, White Fang is a novel about a wolf-dog written by which American author?",Jack London
Which city in the United States is known as the “Windy City”?,Chicago
The expression “oy vey” comes from what language?,Yiddish
A panda’s daily diet consists almost entirely of what plant?,Bamboo
Who was first U.S. president to be impeached?,Andrew Johnson in 1868
What is the name for the longest side of a right triangle?,Hypotenuse
Which Christopher Columbus ship ran aground on his first voyage?,La Santa Maria
Which US Holiday is celebrated on October 12th?,Columbus Day
The Barbie doll was launched in 1959 by which American toy company?,"Mattel, Inc."
Which animal is the tallest in the world?,Giraffe
Who wrote the 1936 novel “Gone with the Wind”?,Margaret Mitchell
The leaning tower of Pisa is located in which city?,"Pisa, Italy"
"When referring to a medical imaging technique, what does MRI stand for?",Magnetic resonance imaging
What is the largest country located entirely in Europe?,Ukraine
"Completed in 1844, The Count of Monte Cristo is an adventure novel by which French author?",Alexandre Dumas
What is the capital of the Republic of Ireland?,Dublin
Which video game studio created the popular online game Fortnite?,Epic Games
What is the term for a non-Jew who performs services for a Jew on the Sabbath?,Shabbos Goy (literally “Sabbath gentile”)
In our solar system which two planets rotate clockwise?,Venus & Uranus
Guinness beer was first brewed in which country?,Ireland
Prince Rainier III of Monaco married which American actress in April 1956?,Grace Kelly
Who wrote the novel “Moby-Dick”?,Herman Melville
Which country and its territories cover the most time zones?,France with 12 time zones.
What murder-mystery board game replaced the suspect Mrs. White with Dr. Orchid in 2016?,Clue or Cluedo
The Alaskan Malamute is a type of what?,Dog
American singer-songwriter Johny Cash passed away in what year?,2003
Ambergris is a waxy substance that originates as a secretion from what aquatic animal?,Sperm whale
Which Teenage Mutant Ninja Turtle always wears red bandanas?,Raphael
"Originating in Germany, the Danube River empties into what body of water?",Black Sea
In what city would you find the Wizard of Oz?,The Emerald City
What are the four main ingredients in beer?,"Grain, hops, yeast, and water"
What automobile manufacturer was first to implement the assembly line for the mass production of an entire automobile?,Ford Motor Company
The Canadian flag features a leaf from which type of tree?,Maple tree
American film director and actor Shelton Jackson Lee is better known by what name?,Spike Lee
Who played the title character in the teen sitcom musical comedy “Hannah Montana”?,Miley Cyrus
"Stratus, Cirrus & Cumulus are names for different types of what?",Clouds
Who was the first man to appear on the cover of Playboy Magazine?,"Peter Sellers, April 1964 issue"
Which actor that once played James Bond previously competed in the Mr. Universe bodybuilding competition?,Sean Connery
Who became both a vice president and president of the United States without ever being elected to either office?,Gerald Ford
Girl with a Pearl Earring is an oil painting by which Dutch Golden Age painter?,Johannes Vermeer
What term describes the amount of light a planetary body reflects?,Albedo
"The Roman Catholic church La Sagrada Familia, located in Barcelona Spain, was designed by which Catalan architect?",Antoni Gaudí
"In the world of video games, what does NES stand for?",Nintendo Entertainment System
Which singer rose to fame with his adaptation of the song “La Bamba” in 1958?,Ritchie Valens
Who served as head of government of Soviet Russia from 1917 to 1922 and of the Soviet Union from 1922 to 1924?,Vladimir Lenin
Who was the Prime Minister of Italy during WWII?,Benito Amilcare Andrea Mussolin
An animal that lives part of its life on land and part in water is known as what?,An Amphibian.
"Who is next in line to succeed the President, after the Vice President?",The Speaker of the House
“A la Crecy” is a French cooking term that describes a dish made or garnished with what?,Carrots
What is the scientific name of the common potato?,Solanum tuberosum L.
What animal is the symbol of the United States democratic party?,Donkey
Who served as the first and third president of the Republic of Texas?,Sam Houston
"The name of the popular online battle royale game PUBG, is short for what?",PlayerUnknown’s Battlegrounds
"On June 16, 1963, which Soviet cosmonaut became the first woman in space?",Valentina Tereshkova
Who was the male lead in the 1996 summer blockbuster Independence Day?,Will Smith
What is the only territory of the mainland Americas that still belongs to a European country?,French Guiana
Who won the Nobel Prize for Literature in 2016?,Bob Dylan
"The Pascaline, invented by Blaise Pascal in the early 17th century, was a mechanical type of what device?",Calculator
The United States is made up of how many states?,Fifty
American mobster Al Capone was sentenced to 11 years in federal prison for what crime?,Tax Evasion
The Kansas City Chiefs are a professional American football team based which state?,Missouri
Which planet is furthest from the sun?,Neptune
"Located in southern Siberia, what lake is the deepest and largest freshwater lake in the world?",Lake Baikal
What island does the Statue of Liberty stand on?,Liberty Island
"Finish this phrase: You drive for show, but putt for “_____”?",Dough
"What is the name of the popular Australian food spread used on sandwiches, toast and pastries?",Vegemite
The Alaskan Malamute is a type of what?,Dog
Ceres is a dwarf planet that lies between the orbits of which two planets in our solar system?,Mars & Jupiter
In which South American country would you find the ancient Incan citadel Machu Picchu?,Peru
"According to Arthurian legend, what was the name of the sword in the stone?",Excalibur or Caliburn
What flightless bird is featured on New Zealand’s one dollar coin?,Kiwi
"The psychological test of human emotions and personality, using inkblots, is formally known as what?",The Rorschach test
What year was the first Super Bowl played?,1967
How many pairs of chromosomes are in found in the average human?,Twenty-three
"When referring to computer memory, what does that acronym RAM stand for?",Random Access Memory
Which actor played a FedEX employee that became marooned on an island in the 2000 drama film Cast Away?,Tom Hanks
What song by Michael Jackson contains the lyrics “Annie are you OK?,Smooth Criminal
The Stanley Cup is a championship trophy awarded annually to the playoff winner in what sport?,Hockey
What was the name of the gorilla that was shot and killed at the Cincinnati zoo in 2016 after a three-year old boy fell into the enclosure?,Harambe
In which state of the United States would you find Fort Knox?,Kentucky
Betelgeuse and Rigel are the two giant stars in which constellation?,Orion
What “King” of golf lent his name to a mixture of iced tea and lemonade?,Arnold Palmer
What school does Harry Potter attend?,Hogwarts School of Witchcraft and Wizardry
